MatchID,Season,MatchWeek,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,B365HomeTeam,B365Draw,B365AwayTeam,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals,HomeTeamPoints,AwayTeamPoints
2024-2025_Man City_Crystal Palace,2024-2025,32,4/12/2025,12:30,Man City,Crystal Palace,,,,,,,J Gillett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Brighton_Leicester,2024-2025,32,4/12/2025,15:00,Brighton,Leicester,,,,,,,D Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Nott'm Forest_Everton,2024-2025,32,4/12/2025,15:00,Nott'm Forest,Everton,,,,,,,C Pawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Southampton_Aston Villa,2024-2025,32,4/12/2025,15:00,Southampton,Aston Villa,,,,,,,T Bramall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Arsenal_Brentford,2024-2025,32,4/12/2025,17:30,Arsenal,Brentford,,,,,,,S Hooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Chelsea_Ipswich,2024-2025,32,4/13/2025,14:00,Chelsea,Ipswich,,,,,,,S Attwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Liverpool_West Ham,2024-2025,32,4/13/2025,14:00,Liverpool,West Ham,,,,,,,A Madley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Wolves_Tottenham,2024-2025,32,4/13/2025,14:00,Wolves,Tottenham,,,,,,,A Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Newcastle_Man United,2024-2025,32,4/13/2025,16:30,Newcastle,Man United,,,,,,,C Kavanagh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Bournemouth_Fulham,2024-2025,32,4/14/2025,20:00,Bournemouth,Fulham,,,,,,,O Oliver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Newcastle_Crystal Palace,2024-2025,29,4/16/2025,19:30,Newcastle,Crystal Palace,,,,,,,D England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Brentford_Brighton,2024-2025,33,4/19/2025,15:00,Brentford,Brighton,,,,,,,T Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Crystal Palace_Bournemouth,2024-2025,33,4/19/2025,15:00,Crystal Palace,Bournemouth,,,,,,,S Barrott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Everton_Man City,2024-2025,33,4/19/2025,15:00,Everton,Man City,,,,,,,S Hooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_West Ham_Southampton,2024-2025,33,4/19/2025,15:00,West Ham,Southampton,,,,,,,A Kitchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Aston Villa_Newcastle,2024-2025,33,4/19/2025,17:30,Aston Villa,Newcastle,,,,,,,J Gillett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Fulham_Chelsea,2024-2025,33,4/20/2025,14:00,Fulham,Chelsea,,,,,,,A Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Ipswich_Arsenal,2024-2025,33,4/20/2025,14:00,Ipswich,Arsenal,,,,,,,C Kavanagh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Man United_Wolves,2024-2025,33,4/20/2025,14:00,Man United,Wolves,,,,,,,R Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Leicester_Liverpool,2024-2025,33,4/20/2025,16:30,Leicester,Liverpool,,,,,,,S Attwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Tottenham_Nott'm Forest,2024-2025,33,4/21/2025,20:00,Tottenham,Nott'm Forest,,,,,,,P Bankes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Man City_Aston Villa,2024-2025,34,4/22/2025,20:00,Man City,Aston Villa,,,,,,,C Pawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Arsenal_Crystal Palace,2024-2025,34,4/23/2025,20:00,Arsenal,Crystal Palace,,,,,,,M Salisbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Brighton_West Ham,2024-2025,34,4/26/2025,15:00,Brighton,West Ham,,,,,,,D England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Newcastle_Ipswich,2024-2025,34,4/26/2025,15:00,Newcastle,Ipswich,,,,,,,M Salisbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Southampton_Fulham,2024-2025,34,4/26/2025,15:00,Southampton,Fulham,,,,,,,T Harrington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Wolves_Leicester,2024-2025,34,4/26/2025,15:00,Wolves,Leicester,,,,,,,S Barrott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Bournemouth_Man United,2024-2025,34,4/27/2025,14:00,Bournemouth,Man United,,,,,,,P Bankes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Liverpool_Tottenham,2024-2025,34,4/27/2025,16:30,Liverpool,Tottenham,,,,,,,T Bramall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Nott'm Forest_Brentford,2024-2025,34,5/1/2025,19:30,Nott'm Forest,Brentford,,,,,,,D England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Man City_Wolves,2024-2025,35,5/2/2025,20:00,Man City,Wolves,,,,,,,P Bankes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Aston Villa_Fulham,2024-2025,35,5/3/2025,12:30,Aston Villa,Fulham,,,,,,,R Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Everton_Ipswich,2024-2025,35,5/3/2025,15:00,Everton,Ipswich,,,,,,,L Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025_Leicester_Southampton,2024-2025,35,5/3/2025,15:00,Leicester,Southampton,,,,,,,D Webb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
